story,subject,roi,lag,r
lucy,sub-052,"Supramarginal Gyrus, anterior division",6,0.563714393015841
lucy,sub-052,"Supramarginal Gyrus, posterior division",0,0.49432344326930827
lucy,sub-052,"Supramarginal Gyrus, posterior division",1,0.505400459702962
lucy,sub-052,"Supramarginal Gyrus, posterior division",2,0.5160869823092026
lucy,sub-052,"Supramarginal Gyrus, posterior division",3,0.5265226441513033
lucy,sub-052,"Supramarginal Gyrus, posterior division",4,0.5364600304854842
lucy,sub-052,"Supramarginal Gyrus, posterior division",5,0.546067360995244
lucy,sub-052,"Supramarginal Gyrus, posterior division",6,0.5554454468192647
lucy,sub-052,Frontal Pole,0,0.3912922140012084
lucy,sub-052,Frontal Pole,1,0.390226796082086
lucy,sub-052,Frontal Pole,2,0.38971477010826355
lucy,sub-052,Frontal Pole,3,0.38828881317741887
lucy,sub-052,Frontal Pole,4,0.3871444447334651
lucy,sub-052,Frontal Pole,5,0.3854221913185871
lucy,sub-052,Frontal Pole,6,0.38308576547867196
lucy,sub-052,Precuneous Cortex,0,0.4489813654680662
lucy,sub-052,Precuneous Cortex,1,0.45677628503632456
lucy,sub-052,Precuneous Cortex,2,0.4641201519707875
lucy,sub-052,Precuneous Cortex,3,0.4712998502497413
lucy,sub-052,Precuneous Cortex,4,0.4779767995054873
lucy,sub-052,Precuneous Cortex,5,0.48421400760284633
lucy,sub-052,Precuneous Cortex,6,0.4905382680337903
lucy,sub-052,"Temporal Fusiform Cortex, anterior division",0,0.23036628253244046
lucy,sub-052,"Temporal Fusiform Cortex, anterior division",1,0.2212454973905295
lucy,sub-052,"Temporal Fusiform Cortex, anterior division",2,0.21225900453938326
lucy,sub-052,"Temporal Fusiform Cortex, anterior division",3,0.2030035049460684
lucy,sub-052,"Temporal Fusiform Cortex, anterior division",4,0.1938149193390102
lucy,sub-052,"Temporal Fusiform Cortex, anterior division",5,0.18436935790777798
lucy,sub-052,"Temporal Fusiform Cortex, anterior division",6,0.17479299397693465
lucy,sub-052,"Temporal Fusiform Cortex, posterior division",0,0.34211356504805124
lucy,sub-052,"Temporal Fusiform Cortex, posterior division",1,0.3381498695856002
lucy,sub-052,"Temporal Fusiform Cortex, posterior division",2,0.33422046097101166
lucy,sub-052,"Temporal Fusiform Cortex, posterior division",3,0.33060399743286856
lucy,sub-052,"Temporal Fusiform Cortex, posterior division",4,0.3267480691234328
lucy,sub-052,"Temporal Fusiform Cortex, posterior division",5,0.3220308333725779
lucy,sub-052,"Temporal Fusiform Cortex, posterior division",6,0.3168105339633267
lucy,sub-052,"Parahippocampal Gyrus, anterior division",0,0.4324161181914893
lucy,sub-052,"Parahippocampal Gyrus, anterior division",1,0.43232173367224097
lucy,sub-052,"Parahippocampal Gyrus, anterior division",2,0.432985866119064
lucy,sub-052,"Parahippocampal Gyrus, anterior division",3,0.4329474586560495
lucy,sub-052,"Parahippocampal Gyrus, anterior division",4,0.43308561068831036
lucy,sub-052,"Parahippocampal Gyrus, anterior division",5,0.431798094007674
lucy,sub-052,"Parahippocampal Gyrus, anterior division",6,0.43009883529257
lucy,sub-052,"Parahippocampal Gyrus, posterior division",0,0.34545221797469033
lucy,sub-052,"Parahippocampal Gyrus, posterior division",1,0.34418208757878177
lucy,sub-052,"Parahippocampal Gyrus, posterior division",2,0.3428229863868678
lucy,sub-052,"Parahippocampal Gyrus, posterior division",3,0.34156446674283847
lucy,sub-052,"Parahippocampal Gyrus, posterior division",4,0.3400433959071173
lucy,sub-052,"Parahippocampal Gyrus, posterior division",5,0.337833931077453
lucy,sub-052,"Parahippocampal Gyrus, posterior division",6,0.33541078166148297
lucy,sub-052,"Cingulate Gyrus, anterior division",0,0.4509823688078182
lucy,sub-052,"Cingulate Gyrus, anterior division",1,0.45203654080846684
lucy,sub-052,"Cingulate Gyrus, anterior division",2,0.4533953852529912
lucy,sub-052,"Cingulate Gyrus, anterior division",3,0.4543385621065728
lucy,sub-052,"Cingulate Gyrus, anterior division",4,0.4547738631001026
lucy,sub-052,"Cingulate Gyrus, anterior division",5,0.4547502080257461
lucy,sub-052,"Cingulate Gyrus, anterior division",6,0.454201656731505
lucy,sub-052,"Cingulate Gyrus, posterior division",0,0.46977270909714525
lucy,sub-052,"Cingulate Gyrus, posterior division",1,0.47606823571474766
lucy,sub-052,"Cingulate Gyrus, posterior division",2,0.4820480903748865
lucy,sub-052,"Cingulate Gyrus, posterior division",3,0.4879158825608155
lucy,sub-052,"Cingulate Gyrus, posterior division",4,0.4932626693496964
lucy,sub-052,"Cingulate Gyrus, posterior division",5,0.4982104148485233
lucy,sub-052,"Cingulate Gyrus, posterior division",6,0.5029726346029246
lucy,sub-053,"Superior Temporal Gyrus, anterior division",0,0.35454603620297087
lucy,sub-053,"Superior Temporal Gyrus, anterior division",1,0.3681587574047892
lucy,sub-053,"Superior Temporal Gyrus, anterior division",2,0.38189910624973356
lucy,sub-053,"Superior Temporal Gyrus, anterior division",3,0.3946011536907742
lucy,sub-053,"Superior Temporal Gyrus, anterior division",4,0.4068967389133184
lucy,sub-053,"Superior Temporal Gyrus, anterior division",5,0.41877519206702035
lucy,sub-053,"Superior Temporal Gyrus, anterior division",6,0.43026498012605774
lucy,sub-053,"Superior Temporal Gyrus, posterior division",0,0.24065760817180532
lucy,sub-053,"Superior Temporal Gyrus, posterior division",1,0.2577491030934626
lucy,sub-053,"Superior Temporal Gyrus, posterior division",2,0.2744572653690055
lucy,sub-053,"Superior Temporal Gyrus, posterior division",3,0.2909926516739674
lucy,sub-053,"Superior Temporal Gyrus, posterior division",4,0.3069958931136096
lucy,sub-053,"Superior Temporal Gyrus, posterior division",5,0.3225305182930554
lucy,sub-053,"Superior Temporal Gyrus, posterior division",6,0.3376745479547973
lucy,sub-053,"Middle Temporal Gyrus, anterior division",0,0.3874934174110077
