story,subject,roi,lag,r
lucy,sub-041,"Superior Temporal Gyrus, anterior division",4,0.13320786867793508
lucy,sub-041,"Superior Temporal Gyrus, anterior division",5,0.12215904654800187
lucy,sub-041,"Superior Temporal Gyrus, anterior division",6,0.11107665522926964
lucy,sub-041,"Superior Temporal Gyrus, anterior division",7,0.10007692946825164
lucy,sub-041,"Superior Temporal Gyrus, anterior division",8,0.08941460054848482
lucy,sub-041,"Superior Temporal Gyrus, posterior division",-3,-0.35392908643908005
lucy,sub-041,"Superior Temporal Gyrus, posterior division",-2,-0.3646012808859875
lucy,sub-041,"Superior Temporal Gyrus, posterior division",-1,-0.37466229842249166
lucy,sub-041,"Superior Temporal Gyrus, posterior division",0,-0.38281980534394683
lucy,sub-041,"Superior Temporal Gyrus, posterior division",1,-0.39532360423177804
lucy,sub-041,"Superior Temporal Gyrus, posterior division",2,-0.40743037196311166
lucy,sub-041,"Superior Temporal Gyrus, posterior division",3,-0.4193177151399996
lucy,sub-041,"Superior Temporal Gyrus, posterior division",4,-0.4308425665132486
lucy,sub-041,"Superior Temporal Gyrus, posterior division",5,-0.4420410674531476
lucy,sub-041,"Superior Temporal Gyrus, posterior division",6,-0.45316880526559133
lucy,sub-041,"Superior Temporal Gyrus, posterior division",7,-0.4637426632178183
lucy,sub-041,"Superior Temporal Gyrus, posterior division",8,-0.4741023513265552
lucy,sub-041,"Middle Temporal Gyrus, anterior division",-3,0.20484582646858102
lucy,sub-041,"Middle Temporal Gyrus, anterior division",-2,0.1953341600530215
lucy,sub-041,"Middle Temporal Gyrus, anterior division",-1,0.18593220627708673
lucy,sub-041,"Middle Temporal Gyrus, anterior division",0,0.1765452464364178
lucy,sub-041,"Middle Temporal Gyrus, anterior division",1,0.16661340360243515
lucy,sub-041,"Middle Temporal Gyrus, anterior division",2,0.15650945039943365
lucy,sub-041,"Middle Temporal Gyrus, anterior division",3,0.14633723840062754
lucy,sub-041,"Middle Temporal Gyrus, anterior division",4,0.13611603786285043
lucy,sub-041,"Middle Temporal Gyrus, anterior division",5,0.12587930736118075
lucy,sub-041,"Middle Temporal Gyrus, anterior division",6,0.11562647357758475
lucy,sub-041,"Middle Temporal Gyrus, anterior division",7,0.10539236757799123
lucy,sub-041,"Middle Temporal Gyrus, anterior division",8,0.09521126825911128
lucy,sub-041,"Middle Temporal Gyrus, posterior division",-3,0.3825805282540621
lucy,sub-041,"Middle Temporal Gyrus, posterior division",-2,0.3749529659692358
lucy,sub-041,"Middle Temporal Gyrus, posterior division",-1,0.36715933326784067
lucy,sub-041,"Middle Temporal Gyrus, posterior division",0,0.3593408176279294
lucy,sub-041,"Middle Temporal Gyrus, posterior division",1,0.3520781634806928
lucy,sub-041,"Middle Temporal Gyrus, posterior division",2,0.3440813569127288
lucy,sub-041,"Middle Temporal Gyrus, posterior division",3,0.3358763582746595
lucy,sub-041,"Middle Temporal Gyrus, posterior division",4,0.32764779909439845
lucy,sub-041,"Middle Temporal Gyrus, posterior division",5,0.3191808786350357
lucy,sub-041,"Middle Temporal Gyrus, posterior division",6,0.31059460353557994
lucy,sub-041,"Middle Temporal Gyrus, posterior division",7,0.3019808522505516
lucy,sub-041,"Middle Temporal Gyrus, posterior division",8,0.29318217366060306
lucy,sub-041,"Inferior Frontal Gyrus, pars triangularis",-3,-0.01943704433779604
lucy,sub-041,"Inferior Frontal Gyrus, pars triangularis",-2,-0.02320765238201667
lucy,sub-041,"Inferior Frontal Gyrus, pars triangularis",-1,-0.02722249120661134
lucy,sub-041,"Inferior Frontal Gyrus, pars triangularis",0,-0.03214895380905554
lucy,sub-041,"Inferior Frontal Gyrus, pars triangularis",1,-0.03721141423925109
lucy,sub-041,"Inferior Frontal Gyrus, pars triangularis",2,-0.041864207261946056
lucy,sub-041,"Inferior Frontal Gyrus, pars triangularis",3,-0.04624370316020373
lucy,sub-041,"Inferior Frontal Gyrus, pars triangularis",4,-0.0507703849963531
lucy,sub-041,"Inferior Frontal Gyrus, pars triangularis",5,-0.05495240102094548
lucy,sub-041,"Inferior Frontal Gyrus, pars triangularis",6,-0.05916089024957203
lucy,sub-041,"Inferior Frontal Gyrus, pars triangularis",7,-0.06327023795929253
lucy,sub-041,"Inferior Frontal Gyrus, pars triangularis",8,-0.06714763262767377
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",-3,0.39805024136012956
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",-2,0.4046744005759236
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",-1,0.41089952818993586
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",0,0.41640404444916235
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",1,0.4224015586256952
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",2,0.42841317153299385
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",3,0.43440782805330425
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",4,0.43988375901704463
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",5,0.4453089100952353
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",6,0.4504611849960737
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",7,0.45550631524542395
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",8,0.46065547209600405
lucy,sub-041,Angular Gyrus,-3,0.35751425660328967
lucy,sub-041,Angular Gyrus,-2,0.3655776313943191
lucy,sub-041,Angular Gyrus,-1,0.37317257974205564
lucy,sub-041,Angular Gyrus,0,0.3803053322075486
lucy,sub-041,Angular Gyrus,1,0.3876870788384313
lucy,sub-041,Angular Gyrus,2,0.3948194637311182
lucy,sub-041,Angular Gyrus,3,0.40191554439076593
lucy,sub-041,Angular Gyrus,4,0.4087409340588942
lucy,sub-041,Angular Gyrus,5,0.4153063980460837
lucy,sub-041,Angular Gyrus,6,0.4217551163340082
lucy,sub-041,Angular Gyrus,7,0.42778996674078174
lucy,sub-041,Angular Gyrus,8,0.4336539843990903
lucy,sub-041,"Supramarginal Gyrus, anterior division",-3,0.07599758237408648
lucy,sub-041,"Supramarginal Gyrus, anterior division",-2,0.08221877473933575
lucy,sub-041,"Supramarginal Gyrus, anterior division",-1,0.08817823423496494
lucy,sub-041,"Supramarginal Gyrus, anterior division",0,0.09377737150146917
lucy,sub-041,"Supramarginal Gyrus, anterior division",1,0.0992486064522109
lucy,sub-041,"Supramarginal Gyrus, anterior division",2,0.10489197746685455
lucy,sub-041,"Supramarginal Gyrus, anterior division",3,0.11100647455961762
lucy,sub-041,"Supramarginal Gyrus, anterior division",4,0.11652698816002316
lucy,sub-041,"Supramarginal Gyrus, anterior division",5,0.12200910029447863
lucy,sub-041,"Supramarginal Gyrus, anterior division",6,0.12723240431404487
lucy,sub-041,"Supramarginal Gyrus, anterior division",7,0.13209244026864214
lucy,sub-041,"Supramarginal Gyrus, anterior division",8,0.1371157967519151
lucy,sub-041,"Supramarginal Gyrus, posterior division",-3,0.07938074563017457
lucy,sub-041,"Supramarginal Gyrus, posterior division",-2,0.08520253346246251
lucy,sub-041,"Supramarginal Gyrus, posterior division",-1,0.09071195243446997
lucy,sub-041,"Supramarginal Gyrus, posterior division",0,0.09605152608543821
lucy,sub-041,"Supramarginal Gyrus, posterior division",1,0.1014689783694981
lucy,sub-041,"Supramarginal Gyrus, posterior division",2,0.10707820317950253
lucy,sub-041,"Supramarginal Gyrus, posterior division",3,0.11327567885902681
lucy,sub-041,"Supramarginal Gyrus, posterior division",4,0.11907147672098843
lucy,sub-041,"Supramarginal Gyrus, posterior division",5,0.1247530233270184
lucy,sub-041,"Supramarginal Gyrus, posterior division",6,0.13026892566604878
lucy,sub-041,"Supramarginal Gyrus, posterior division",7,0.13525973527836982
lucy,sub-041,"Supramarginal Gyrus, posterior division",8,0.14053020610830114
lucy,sub-041,Frontal Pole,-3,0.23987164456484586
lucy,sub-041,Frontal Pole,-2,0.23637467544855176
lucy,sub-041,Frontal Pole,-1,0.23335337962391517
lucy,sub-041,Frontal Pole,0,0.2299885978155975
lucy,sub-041,Frontal Pole,1,0.2261300111113966
lucy,sub-041,Frontal Pole,2,0.2230613613382324
lucy,sub-041,Frontal Pole,3,0.2196215805710407
lucy,sub-041,Frontal Pole,4,0.21530818349097994
lucy,sub-041,Frontal Pole,5,0.2117377671349709
lucy,sub-041,Frontal Pole,6,0.207288534752052
lucy,sub-041,Frontal Pole,7,0.20287454421539686
lucy,sub-041,Frontal Pole,8,0.19842996468628935
lucy,sub-041,"Temporal Fusiform Cortex, anterior division",-3,0.2020829499387827
lucy,sub-041,"Temporal Fusiform Cortex, anterior division",-2,0.20032710458268063
lucy,sub-041,"Temporal Fusiform Cortex, anterior division",-1,0.19714411089431874
lucy,sub-041,"Temporal Fusiform Cortex, anterior division",0,0.19447547314100194
lucy,sub-041,"Temporal Fusiform Cortex, anterior division",1,0.19311916151490727
lucy,sub-041,"Temporal Fusiform Cortex, anterior division",2,0.19195724621527424
lucy,sub-041,"Temporal Fusiform Cortex, anterior division",3,0.19095877167451142
lucy,sub-041,"Temporal Fusiform Cortex, anterior division",4,0.18920994220299972
lucy,sub-041,"Temporal Fusiform Cortex, anterior division",5,0.18769889320571773
lucy,sub-041,"Temporal Fusiform Cortex, anterior division",6,0.18615638810876972
lucy,sub-041,"Temporal Fusiform Cortex, anterior division",7,0.18403904316474234
lucy,sub-041,"Temporal Fusiform Cortex, anterior division",8,0.18237109315531455
lucy,sub-041,"Temporal Fusiform Cortex, posterior division",-3,0.3480577989943983
lucy,sub-041,"Temporal Fusiform Cortex, posterior division",-2,0.3469896347664271
lucy,sub-041,"Temporal Fusiform Cortex, posterior division",-1,0.34463968421030544
lucy,sub-041,"Temporal Fusiform Cortex, posterior division",0,0.34037282431461136
lucy,sub-041,"Temporal Fusiform Cortex, posterior division",1,0.339411347797551
lucy,sub-041,"Temporal Fusiform Cortex, posterior division",2,0.33806678815473196
lucy,sub-041,"Temporal Fusiform Cortex, posterior division",3,0.3365403556291222
lucy,sub-041,"Temporal Fusiform Cortex, posterior division",4,0.3353176230968781
lucy,sub-041,"Temporal Fusiform Cortex, posterior division",5,0.3340383758657541
lucy,sub-041,"Temporal Fusiform Cortex, posterior division",6,0.3325186451504702
lucy,sub-041,"Temporal Fusiform Cortex, posterior division",7,0.3317693012818617
lucy,sub-041,"Temporal Fusiform Cortex, posterior division",8,0.33014462309580167
lucy,sub-041,"Parahippocampal Gyrus, anterior division",-3,0.4011142486582787
lucy,sub-041,"Parahippocampal Gyrus, anterior division",-2,0.4032090036945484
lucy,sub-041,"Parahippocampal Gyrus, anterior division",-1,0.40329340558659593
lucy,sub-041,"Parahippocampal Gyrus, anterior division",0,0.4025233696588299
lucy,sub-041,"Parahippocampal Gyrus, anterior division",1,0.40413595170622707
lucy,sub-041,"Parahippocampal Gyrus, anterior division",2,0.405470355242943
lucy,sub-041,"Parahippocampal Gyrus, anterior division",3,0.4069996779202912
lucy,sub-041,"Parahippocampal Gyrus, anterior division",4,0.4080857447069133
lucy,sub-041,"Parahippocampal Gyrus, anterior division",5,0.40885921598952646
lucy,sub-041,"Parahippocampal Gyrus, anterior division",6,0.41020926223672827
lucy,sub-041,"Parahippocampal Gyrus, anterior division",7,0.4107126601507238
lucy,sub-041,"Parahippocampal Gyrus, anterior division",8,0.4113547423492655
lucy,sub-041,"Parahippocampal Gyrus, posterior division",-3,0.4302839538523249
lucy,sub-041,"Parahippocampal Gyrus, posterior division",-2,0.42874890365272467
lucy,sub-041,"Parahippocampal Gyrus, posterior division",-1,0.4268424094647357
lucy,sub-041,"Parahippocampal Gyrus, posterior division",0,0.42405667652346923
lucy,sub-041,"Parahippocampal Gyrus, posterior division",1,0.4226918105170043
lucy,sub-041,"Parahippocampal Gyrus, posterior division",2,0.4211480274443546
lucy,sub-041,"Parahippocampal Gyrus, posterior division",3,0.41933954767166914
lucy,sub-041,"Parahippocampal Gyrus, posterior division",4,0.4175235430363233
lucy,sub-041,"Parahippocampal Gyrus, posterior division",5,0.4156127696883042
lucy,sub-041,"Parahippocampal Gyrus, posterior division",6,0.41375606119340635
lucy,sub-041,"Parahippocampal Gyrus, posterior division",7,0.4118512006498538
lucy,sub-041,"Parahippocampal Gyrus, posterior division",8,0.4095316889696494
lucy,sub-041,"Cingulate Gyrus, anterior division",-3,0.4253626697189872
lucy,sub-041,"Cingulate Gyrus, anterior division",-2,0.42479956939798386
lucy,sub-041,"Cingulate Gyrus, anterior division",-1,0.4236908999583329
lucy,sub-041,"Cingulate Gyrus, anterior division",0,0.42268101981372824
lucy,sub-041,"Cingulate Gyrus, anterior division",1,0.42259178763401817
